year,month,day,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home
2020,5,26,-.23999999,-.027100001,.30700001,-.36300001,-.35299999,.123,-.14300001
2020,5,27,-.23899999,-.0286,.31999999,-.361,-.34900001,.121,-.142
2020,5,28,-.237,-.029999999,.31299999,-.361,-.34400001,.12,-.14
2020,5,29,-.236,-.034299999,.31,-.361,-.33899999,.119,-.139
2020,5,30,-.23100001,-.035700001,.317,-.35600001,-.32600001,.117,-.13600001
2020,5,31,-.229,-.038600001,.303,-.35100001,-.31400001,.117,-.13600001
2020,6,1,-.21699999,-.029999999,.34,-.34099999,-.31,.113,-.131
2020,6,2,-.211,-.025699999,.34999999,-.34,-.30700001,.111,-.13
2020,6,3,-.204,-.0186,.35100001,-.33700001,-.30599999,.11,-.12800001
2020,6,4,-.2,-.0143,.37099999,-.33399999,-.30399999,.109,-.127
2020,6,5,-.19599999,-.0099999998,.37900001,-.331,-.303,.107,-.125
2020,6,6,-.191,-.0071399999,.38299999,-.33000001,-.30399999,.106,-.123
2020,6,7,-.186,-.0042900001,.391,-.32699999,-.30399999,.104,-.12
2020,6,8,-.183,-.0042900001,.40700001,-.324,-.303,.103,-.118
2020,6,9,-.18000001,-.0057100002,.40900001,-.32100001,-.301,.101,-.117
2020,6,10,-.177,-.0085699996,.419,-.31900001,-.30000001,.1,-.115
2020,6,11,-.17299999,-.0099999998,.43099999,-.31600001,-.29899999,.0986,-.114
2020,6,12,-.169,-.0085699996,.46399999,-.31,-.29699999,.095700003,-.111
2020,6,13,-.164,-.0071399999,.49700001,-.303,-.29300001,.094300002,-.109
2020,6,14,-.16,-.0071399999,.51899999,-.296,-.289,.092900001,-.106
2020,6,15,-.15700001,-.0071399999,.52700001,-.29300001,-.287,.092900001,-.106
2020,6,16,-.153,-.0042900001,.55699998,-.289,-.287,.091399997,-.104
2020,6,17,-.15000001,-.0028599999,.583,-.28600001,-.287,.090000004,-.103
2020,6,18,-.147,-.0014299999,.597,-.28299999,-.287,.088600002,-.101
2020,6,19,-.14399999,0,.60100001,-.28,-.289,.085699998,-.0986
2020,6,20,-.14300001,.0057100002,.59399998,-.28,-.28999999,.084299996,-.096000001
2020,6,21,-.14399999,.0114,.58099997,-.28,-.28999999,.082900003,-.093099996
2020,6,22,-.147,.0071399999,.579,-.28,-.294,.082900003,-.093099996
2020,6,23,-.147,.0057100002,.574,-.27900001,-.29699999,.082900003,-.093099996
2020,6,24,-.147,.0042900001,.57300001,-.27700001,-.29699999,.082900003,-.093099996
2020,6,25,-.147,.0042900001,.57999998,-.27399999,-.29699999,.082900003,-.093099996
2020,6,26,-.15000001,-2.6600000e-10,.57599998,-.27399999,-.29699999,.085699998,-.095899999
2020,6,27,-.153,-.0099999998,.56599998,-.27399999,-.29899999,.087099999,-.098399997
2020,6,28,-.153,-.0186,.56,-.273,-.29699999,.088600002,-.101
2020,6,29,-.149,-.015699999,.56400001,-.271,-.294,.087099999,-.099600002
2020,6,30,-.14399999,-.0143,.55900002,-.271,-.29300001,.087099999,-.099600002
2020,7,1,-.13699999,-.0071399999,.55400002,-.26699999,-.294,.085699998,-.097999997
2020,7,2,-.124,.0071399999,.57300001,-.25999999,-.29899999,.084299996,-.096600004
2020,7,3,-.114,.027100001,.61400002,-.26300001,-.329,.088600002,-.101
2020,7,4,-.147,.0057100002,.60000002,-.27399999,-.32100001,.085699998,-.099100001
2020,7,5,-.131,-.0014299999,.56999999,-.26100001,-.30899999,.084299996,-.096600004
2020,7,6,-.124,.0085699996,.57599998,-.259,-.30599999,.085699998,-.098300003
2020,7,7,-.12899999,.0071399999,.57700002,-.257,-.30899999,.085699998,-.098300003
2020,7,8,-.13600001,2.6600000e-10,.574,-.26100001,-.30899999,.087099999,-.0999
2020,7,9,-.149,-.0143,.54900002,-.27000001,-.30700001,.088600002,-.101
2020,7,10,-.15000001,-.015699999,.52899998,-.27399999,-.30899999,.088600002,-.101
2020,7,11,-.15000001,-.0143,.52899998,-.27599999,-.30899999,.088600002,-.101
2020,7,12,-.15000001,-.0129,.54100001,-.27700001,-.31299999,.088600002,-.101
2020,7,13,-.15000001,-.0129,.54900002,-.27900001,-.30899999,.087099999,-.099600002
2020,7,14,-.149,-.0129,.56,-.28099999,-.30700001,.087099999,-.099600002
2020,7,15,-.149,-.0129,.56599998,-.28299999,-.30700001,.087099999,-.099600002
2020,7,16,-.149,-.0143,.56999999,-.28400001,-.30599999,.087099999,-.099600002
2020,7,17,-.147,-.0129,.58600003,-.28099999,-.30599999,.087099999,-.099600002
2020,7,18,-.147,-.0143,.60299999,-.28099999,-.30700001,.087099999,-.099600002
2020,7,19,-.147,-.015699999,.597,-.28299999,-.30899999,.087099999,-.099600002
2020,7,20,-.149,-.0186,.59399998,-.28400001,-.30899999,.087099999,-.099600002
2020,7,21,-.15000001,-.021400001,.58700001,-.28600001,-.30899999,.087099999,-.099600002
2020,7,22,-.15099999,-.0243,.574,-.287,-.30899999,.087099999,-.099600002
2020,7,23,-.153,-.027100001,.56400001,-.287,-.30899999,.087099999,-.099600002
2020,7,24,-.153,-.0286,.56599998,-.289,-.30899999,.087099999,-.099600002
2020,7,25,-.153,-.029999999,.56999999,-.289,-.30899999,.087099999,-.099600002
2020,7,26,-.153,-.031399999,.57700002,-.289,-.30899999,.087099999,-.099600002
2020,7,27,-.153,-.031399999,.57300001,-.289,-.30899999,.087099999,-.099600002
2020,7,28,-.154,-.032900002,.57099998,-.289,-.30899999,.087099999,-.099600002
2020,7,29,-.154,-.032900002,.58399999,-.287,-.31,.085699998,-.097999997
2020,7,30,-.153,-.032900002,.58600003,-.287,-.31099999,.085699998,-.097999997
2020,7,31,-.149,-.029999999,.58700001,-.28400001,-.31099999,.084299996,-.096600004
2020,8,1,-.146,-.027100001,.57599998,-.28299999,-.31299999,.084299996,-.096600004
2020,8,2,-.14399999,-.025699999,.55699998,-.28299999,-.31400001,.084299996,-.096600004
2020,8,3,-.141,-.021400001,.55599999,-.28099999,-.31400001,.084299996,-.096600004
2020,8,4,-.14,-.021400001,.54900002,-.28299999,-.31600001,.084299996,-.096600004
2020,8,5,-.13699999,-.02,.55599999,-.28099999,-.31400001,.084299996,-.096600004
2020,8,6,-.13699999,-.02,.56400001,-.28,-.31299999,.082900003,-.095200002
2020,8,7,-.139,-.0243,.56599998,-.28099999,-.31299999,.082900003,-.095200002
2020,8,8,-.139,-.025699999,.57999998,-.28099999,-.31099999,.0814,-.092699997
2020,8,9,-.13699999,-.025699999,.60000002,-.27900001,-.31,.079999998,-.0898
2020,8,10,-.14,-.031399999,.60000002,-.28,-.31,.078599997,-.088100001
2020,8,11,-.14,-.031399999,.61299998,-.27700001,-.30899999,.077100001,-.0867
2020,8,12,-.14300001,-.034299999,.59899998,-.28,-.30899999,.077100001,-.0867
2020,8,13,-.14399999,-.035700001,.58600003,-.28099999,-.30899999,.077100001,-.0867
2020,8,14,-.146,-.035700001,.57999998,-.28099999,-.30899999,.077100001,-.0867
2020,8,15,-.147,-.037099998,.56300002,-.28299999,-.31,.077100001,-.0867
2020,8,16,-.149,-.038600001,.537,-.28600001,-.31099999,.078599997,-.089599997
2020,8,17,-.149,-.038600001,.53600001,-.28600001,-.31099999,.078599997,-.089599997
2020,8,18,-.149,-.039999999,.53600001,-.287,-.30899999,.078599997,-.089599997
2020,8,19,-.149,-.0414,.537,-.287,-.30700001,.078599997,-.089599997
2020,8,20,-.147,-.0414,.551,-.287,-.30700001,.078599997,-.089599997
2020,8,21,-.146,-.0414,.55699998,-.287,-.30599999,.077100001,-.088200003
2020,8,22,-.14300001,-.039999999,.56900001,-.289,-.30399999,.077100001,-.088200003
2020,8,23,-.141,-.038600001,.583,-.287,-.301,.077100001,-.088200003
2020,8,24,-.14300001,-.039999999,.57999998,-.289,-.30000001,.078599997,-.089900002
2020,8,25,-.14300001,-.038600001,.57099998,-.289,-.301,.078599997,-.089900002
2020,8,26,-.141,-.035700001,.57999998,-.289,-.301,.078599997,-.089900002
2020,8,27,-.14300001,-.037099998,.574,-.28999999,-.301,.078599997,-.089900002
2020,8,28,-.14300001,-.038600001,.57099998,-.29100001,-.30000001,.078599997,-.089900002
2020,8,29,-.141,-.039999999,.56,-.296,-.30000001,.079999998,-.092399999
2020,8,30,-.13699999,-.039999999,.58600003,-.294,-.30000001,.078599997,-.089500003
2020,8,31,-.133,-.038600001,.59600002,-.29300001,-.29899999,.077100001,-.087800004
2020,9,1,-.127,-.032900002,.60699999,-.29100001,-.29699999,.0757,-.086400002
2020,9,2,-.123,-.031399999,.60900003,-.28999999,-.29699999,.074299999,-.084799998
2020,9,3,-.114,-.0229,.62400001,-.28400001,-.296,.071400002,-.082000002
2020,9,4,-.106,-.0143,.66000003,-.27700001,-.29899999,.07,-.080600001
2020,9,5,-.101,-.0071399999,.71899998,-.271,-.30399999,.067100003,-.075599998
2020,9,6,-.097099997,-.0014299999,.76099998,-.27399999,-.31,.065700002,-.072700001
2020,9,7,-.0986,0,.84100002,-.28600001,-.36000001,.0757,-.0845
2020,9,8,-.101,-.0042900001,.75099999,-.27399999,-.31299999,.065700002,-.072700001
2020,9,9,-.103,-.0057100002,.75,-.27599999,-.31299999,.065700002,-.072700001
2020,9,10,-.107,-.0114,.73699999,-.28099999,-.31299999,.067100003,-.074100003
2020,9,11,-.111,-.0186,.72100002,-.289,-.30899999,.067100003,-.074100003
2020,9,12,,,,,-.303,.068599999,-.0766
2020,9,13,,,,,-.29899999,.071400002,-.082400002
2020,9,14,,,,,-.294,.07,-.080700003
2020,9,15,,,,,-.289,.07,-.080700003
2020,9,16,,,,,-.28600001,.07,-.080700003
2020,9,17,,,,,-.28299999,.07,-.080700003
2020,9,18,,,,,-.28099999,.07,-.080700003
2020,9,19,,,,,-.28099999,.068599999,-.078199998
2020,9,20,,,,,-.28,.067100003,-.075300001
2020,9,21,,,,,-.28299999,.068599999,-.077
